filename,MildDemented,ModerateDemented,NonDemented,VeryMildDemented
verymildDem1220_jpg.rf.441b6400d791a4f53e749cae052b8e38.jpg,0,0,0,1
mildDem129_jpg.rf.e98cb823abb3f4be01d69408200f0871.jpg,1,0,0,0
moderateDem28_jpg.rf.2d71431b5729a2edfffdd4ba021cec25.jpg,0,1,0,0
moderateDem43_jpg.rf.01944a43be1e3a01726fc8098a135f37.jpg,0,1,0,0
nonDem2155_jpg.rf.e9e33856c7efb8524a0c819c21bbdae7.jpg,0,0,1,0
moderateDem41_jpg.rf.95ed865a9779393daba72ae8dd3b753b.jpg,0,1,0,0
nonDem2198_jpg.rf.c78c8778da18de77fcff6784bb6f9ee3.jpg,0,0,1,0
verymildDem130_jpg.rf.c67f5cf22c74c00a0ef8e7846bd902d8.jpg,0,0,0,1
verymildDem1309_jpg.rf.dcc02adbd671aad72690dd9867ae1cfe.jpg,0,0,0,1
nonDem22_jpg.rf.4771a131ff106d798f167b131fb0ec33.jpg,0,0,1,0
moderateDem39_jpg.rf.7c479bf4e73387b2a8449a969c3e3f7e.jpg,0,1,0,0
nonDem2202_jpg.rf.06fa874f27ad7afc11ef5d4009ed2df1.jpg,0,0,1,0
nonDem2128_jpg.rf.71c3719c86dc7d1ffc75aaeca8f52c73.jpg,0,0,1,0
nonDem2131_jpg.rf.0d69e533333522eca33c2a0bc16b0a74.jpg,0,0,1,0
moderateDem46_jpg.rf.bfd24731b6bcbc62fe575bbf9f7b28b9.jpg,0,1,0,0
nonDem2201_jpg.rf.d006e1b81105ad9fd1408bcfa34fbe3e.jpg,0,0,1,0
nonDem2204_jpg.rf.c1fff3cf39d24115f8747f504f1562c2.jpg,0,0,1,0
mildDem119_jpg.rf.c2eb29f89994b5cb2eaec29452ceae4e.jpg,1,0,0,0
nonDem2203_jpg.rf.4e59ef4d9636653d915a14ec6d8033e4.jpg,0,0,1,0
nonDem218_jpg.rf.e7783d472b15506424414ddddbcf414c.jpg,0,0,1,0
mildDem105_jpg.rf.31caa548593aff951dd483d9d821f638.jpg,1,0,0,0
mildDem138_jpg.rf.e44e5c55f10d9158691446293b1b44c4.jpg,1,0,0,0
nonDem2124_jpg.rf.5633fae19aaf6e81ead2904e5078f5f6.jpg,0,0,1,0
nonDem2178_jpg.rf.83f375821e72ae9cee67dc80f1bca96c.jpg,0,0,1,0
nonDem2161_jpg.rf.d848b69d72457ec375ef61976404b7c7.jpg,0,0,1,0
mildDem140_jpg.rf.d8bbd57f426d631b4d68a2bbff13c9f3.jpg,1,0,0,0
verymildDem1316_jpg.rf.fbcb8e9cf662afd00e209283ce2a90c6.jpg,0,0,0,1
nonDem220_jpg.rf.b454b6ff5715260caee7d6c5b487fd9c.jpg,0,0,1,0
verymildDem1221_jpg.rf.e58064643597c7dec1e198d94a619a0b.jpg,0,0,0,1
moderateDem25_jpg.rf.ae5edff0a74c69bc7781f3cc7a9b36b7.jpg,0,1,0,0
verymildDem1223_jpg.rf.3dbfec9994ac4b71b30db80d2c40de28.jpg,0,0,0,1
nonDem2148_jpg.rf.8165f3c8e046727a7b85f23195e67ad8.jpg,0,0,1,0
nonDem2208_jpg.rf.4d7088a87e81cbdeff3a7b70d24d13b0.jpg,0,0,1,0
nonDem2169_jpg.rf.0e5f6c13a059357ca061e738fcfb7988.jpg,0,0,1,0
