base,participant,session,type,file_path,relative_path,size_mb,full_path
5055046,P01,Unknown,EEGLAB,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S1\eeg\alldata_sbj01_sess1_MATBdiff.set,P01\P01\S1\eeg\alldata_sbj01_sess1_MATBdiff.set,17.741188049316406,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S1\eeg\alldata_sbj01_sess1_MATBdiff.set
5055046,P01,Unknown,EEGLAB,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S1\eeg\alldata_sbj01_sess1_MATBeasy.set,P01\P01\S1\eeg\alldata_sbj01_sess1_MATBeasy.set,17.741188049316406,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S1\eeg\alldata_sbj01_sess1_MATBeasy.set
5055046,P01,Unknown,EEGLAB,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S1\eeg\alldata_sbj01_sess1_MATBmed.set,P01\P01\S1\eeg\alldata_sbj01_sess1_MATBmed.set,17.741188049316406,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S1\eeg\alldata_sbj01_sess1_MATBmed.set
5055046,P01,Unknown,EEGLAB,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S1\eeg\alldata_sbj01_sess1_RS.set,P01\P01\S1\eeg\alldata_sbj01_sess1_RS.set,3.8149261474609375,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S1\eeg\alldata_sbj01_sess1_RS.set
5055046,P01,Unknown,EEGLAB,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S1\eeg\alldata_sbj01_sess1_RSraw.set,P01\P01\S1\eeg\alldata_sbj01_sess1_RSraw.set,7.456809997558594,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S1\eeg\alldata_sbj01_sess1_RSraw.set
5055046,P01,Unknown,EEGLAB,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S2\eeg\alldata_sbj01_sess2_MATBdiff.set,P01\P01\S2\eeg\alldata_sbj01_sess2_MATBdiff.set,17.74011993408203,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S2\eeg\alldata_sbj01_sess2_MATBdiff.set
5055046,P01,Unknown,EEGLAB,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S2\eeg\alldata_sbj01_sess2_MATBeasy.set,P01\P01\S2\eeg\alldata_sbj01_sess2_MATBeasy.set,17.74011993408203,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S2\eeg\alldata_sbj01_sess2_MATBeasy.set
5055046,P01,Unknown,EEGLAB,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S2\eeg\alldata_sbj01_sess2_MATBmed.set,P01\P01\S2\eeg\alldata_sbj01_sess2_MATBmed.set,17.74011993408203,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S2\eeg\alldata_sbj01_sess2_MATBmed.set
5055046,P01,Unknown,EEGLAB,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S2\eeg\alldata_sbj01_sess2_RS.set,P01\P01\S2\eeg\alldata_sbj01_sess2_RS.set,3.8138580322265625,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S2\eeg\alldata_sbj01_sess2_RS.set
5055046,P01,Unknown,EEGLAB,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S2\eeg\alldata_sbj01_sess2_RSraw.set,P01\P01\S2\eeg\alldata_sbj01_sess2_RSraw.set,7.4559783935546875,E:\Master data science\MPDS3_2025\projet federal\projet_federal\data\raw\eeg\5055046\P01\P01\S2\eeg\alldata_sbj01_sess2_RSraw.set
